Package,N,A,Ce,Ca,I,D,post,IPIC ,IIPUD,IIPED,PF ,IPSC ,,Package Name ,SLOC,pkgKLOC
org.apache.camel.example.cxf,4,0,10,0,0,1,0,1,0.4,1,0,0,,org.apache.camel.example.cxf,173,0.173
org.apache.camel.example.cxf.provider,5,0,9,0,0,1,0,1,1,1,0,0,,org.apache.camel.example.cxf.provider,154,0.154
org.apache.camel.example.docs,4,0,6,0,0,1,0,1,0.5,0.75,0,0,,org.apache.camel.example.docs,33,0.033
org.apache.camel.example.etl,5,0,8,0,0,1,0,1,0.4375,1,0,0,,org.apache.camel.example.etl,175,0.175
org.apache.camel.example.guice.jms,4,0,8,0,0,1,0,1,0.4375,0.555555556,0,0,,org.apache.camel.example.guice.jms,53,0.053
org.apache.camel.example.jms,1,0,1,1,0.5,0.5,0,0.995238095,1,1,1,0,,org.apache.camel.example.jms,71,0.071
org.apache.camel.example.jmstofile,1,0,4,0,0,1,0,1,0.466666667,1,0,0,,org.apache.camel.example.jmstofile,36,0.036
org.apache.camel.example.osgi,1,0,3,0,0,1,0,1,1,1,0,0,,org.apache.camel.example.osgi,29,0.029
org.apache.camel.example.server,4,0.333333333,5,1,0.833333333,0.166666667,0,0.995238095,0.6,1,1,0,,org.apache.camel.example.server,42,0.042
org.apache.camel.example.spring,2,0,6,0,0,1,0,1,0.555555556,0.75,0,0,,org.apache.camel.example.spring,29,0.029
org.apache.camel.examples,2,0,2,1,0.666666667,0.333333333,0,0.995238095,1,1,1,0,,org.apache.camel.examples,83,0.083
org.apache.camel.foo.bar,2,0,5,1,0.833333333,0.166666667,0,0.995238095,1,1,1,0,,org.apache.camel.foo.bar,59,0.059
org.apache.camel.guice,16,0,17,1,0.944444444,0.055555556,0,0.995238095,0.142857143,0.36,1,0,,org.apache.camel.guice,526,0.526
org.apache.camel.guice.consume,1,0,3,0,0,1,0,1,1,1,0,0,,org.apache.camel.guice.consume,32,0.032
org.apache.camel.guice.impl,4,0,8,1,0.888888889,0.111111111,0,0.995238095,0.314285714,1,1,0,,org.apache.camel.guice.impl,141,0.141
org.apache.camel.guice.maven,3,0,7,0,0,1,0,1,1,0.75,0,0,,org.apache.camel.guice.maven,882,0.882
org.apache.camel.guice.produce,3,0.5,3,0,0,0.5,0,1,1,1,0,0,,org.apache.camel.guice.produce,38,0.038
org.apache.camel.hamcrest,2,0,2,2,0.5,0.5,0,0.99047619,1,1,1,0.5,,org.apache.camel.hamcrest,34,0.034
org.apache.camel.impl,56,0.272727273,27,99,0.214285714,0.512987013,92,0.528571429,0.082101806,0.466666667,0.095500459,0.292025313,,org.apache.camel.impl,3932,3.932
org.apache.camel.impl.converter,12,0.2,10,9,0.526315789,0.273684211,4,0.957142857,0.380952381,1,0.311111111,0.423868313,,org.apache.camel.impl.converter,637,0.637
org.apache.camel.issues,16,0,7,1,0.875,0.125,0,0.995238095,0.4,1,1,0,,org.apache.camel.issues,807,0.807
org.apache.camel.itest.customerrelations,3,0,2,0,0,1,0,1,1,1,0,0,,org.apache.camel.itest.customerrelations,111,0.111
org.apache.camel.itest.greeter,5,0,10,0,0,1,0,1,0.333333333,1,0,0,,org.apache.camel.itest.greeter,143,0.143
org.apache.camel.itest.jetty,6,0,9,0,0,1,0,1,0.325,0.75,0,0,,org.apache.camel.itest.jetty,180,0.18
org.apache.camel.itest.jms,4,0,9,0,0,1,0,1,0.555555556,1,0,0,,org.apache.camel.itest.jms,229,0.229
org.apache.camel.itest.spring2,1,0,5,0,0,1,0,1,0.375,1,0,0,,org.apache.camel.itest.spring2,34,0.034
org.apache.camel.jaxb,3,0,9,0,0,1,0,1,0.314285714,1,0,0,,org.apache.camel.jaxb,95,0.095
org.apache.camel.jmxconnect,13,0.181818182,15,2,0.882352941,0.064171123,0,0.99047619,0.318181818,1,0.833333333,0.416666667,,org.apache.camel.jmxconnect,638,0.638
org.apache.camel.jmxconnect.provider.activemq,3,0,7,0,0,1,0,1,0.625,1,0,0,,org.apache.camel.jmxconnect.provider.activemq,51,0.051
org.apache.camel.jmxconnect.provider.camel,2,0,5,0,0,1,0,1,1,1,0,0,,org.apache.camel.jmxconnect.provider.camel,27,0.027
org.apache.camel.language,16,0.777777778,15,7,0.681818182,0.45959596,0,0.966666667,0.174603175,1,0.265306122,0.27755102,,org.apache.camel.language,412,0.412
org.apache.camel.language.bean,3,0,7,2,0.777777778,0.222222222,0,0.99047619,0.266666667,0.75,0.5,0.25,,org.apache.camel.language.bean,112,0.112
org.apache.camel.language.constant,1,0,4,1,0.8,0.2,0,0.995238095,0.466666667,1,1,0,,org.apache.camel.language.constant,18,0.018
org.apache.camel.language.groovy,7,0.166666667,8,0,0,0.833333333,0,1,0.2,0.466666667,0,0,,org.apache.camel.language.groovy,197,0.197
org.apache.camel.language.header,1,0,4,0,0,1,0,1,0.466666667,1,0,0,,org.apache.camel.language.header,18,0.018
org.apache.camel.language.juel,7,0.166666667,10,1,0.909090909,0.075757576,0,0.995238095,0.34375,0.4,1,0,,org.apache.camel.language.juel,218,0.218
org.apache.camel.language.juel.issues,1,0,4,0,0,1,0,1,0.555555556,1,0,0,,org.apache.camel.language.juel.issues,49,0.049
org.apache.camel.language.jxpath,9,0.125,10,0,0,0.875,0,1,0.242424242,0.5,0,0,,org.apache.camel.language.jxpath,241,0.241
org.apache.camel.language.ognl,5,0.25,6,0,0,0.75,0,1,0.416666667,0.75,0,0,,org.apache.camel.language.ognl,133,0.133
org.apache.camel.language.script,2,0,2,0,0,1,0,1,1,1,0,0,,org.apache.camel.language.script,25,0.025
org.apache.camel.language.simple,4,0.333333333,7,2,0.777777778,0.111111111,8,0.99047619,0.314285714,1,1,0.5,,org.apache.camel.language.simple,294,0.294
org.apache.camel.language.xpath,1,0,5,1,0.833333333,0.166666667,0,0.995238095,0.5,1,1,0,,org.apache.camel.language.xpath,31,0.031
org.apache.camel.loanbroker.queue.version,8,0.142857143,8,0,0,0.857142857,0,1,0.230769231,1,0,0,,org.apache.camel.loanbroker.queue.version,269,0.269
org.apache.camel.loanbroker.webservice.version,5,0.666666667,9,2,0.818181818,0.484848485,0,0.99047619,0.242424242,1,1,0.5,,org.apache.camel.loanbroker.webservice.version,161,0.161
org.apache.camel.loanbroker.webservice.version.bank,4,0.333333333,4,1,0.8,0.133333333,0,0.995238095,1,1,1,0,,org.apache.camel.loanbroker.webservice.version.bank,99,0.099
org.apache.camel.loanbroker.webservice.version.credit,4,0.333333333,4,1,0.8,0.133333333,0,0.995238095,1,1,1,0,,org.apache.camel.loanbroker.webservice.version.credit,67,0.067
org.apache.camel.management,20,0,19,7,0.730769231,0.269230769,19,0.971428571,0.157407407,0.555555556,0.392857143,0.680555556,,org.apache.camel.management,1318,1.318
org.apache.camel.maven,5,0,12,0,0,1,0,1,0.4,0.555555556,0,0,,org.apache.camel.maven,1456,1.456
org.apache.camel.model,66,0.118644068,26,38,0.40625,0.475105932,4,0.814285714,0.068330362,1,0.089473684,0.416491343,,org.apache.camel.model,5323,5.323
org.apache.camel.model.config,2,0,3,3,0.5,0.5,0,0.985714286,1,1,0.666666667,0.555555556,,org.apache.camel.model.config,90,0.09
org.apache.camel.model.dataformat,15,0,11,7,0.611111111,0.388888889,8,0.961904762,0.288888889,1,0.323809524,0.364182692,,org.apache.camel.model.dataformat,470,0.47
org.apache.camel.model.language,19,0.055555556,9,9,0.5,0.444444444,2,0.957142857,0.266666667,1,0.25,0.537037037,,org.apache.camel.model.language,570,0.57
org.apache.camel.model.loadbalancer,5,0,9,3,0.75,0.25,5,0.985714286,0.28,1,0.733333333,0.518518519,,org.apache.camel.model.loadbalancer,188,0.188
org.apache.camel.non_wrapper,4,0,2,0,0,1,0,1,1,1,0,0,,org.apache.camel.non_wrapper,36,0.036
org.apache.camel.osgi,13,0,25,0,0,1,0,1,0.104591837,0.285714286,0,0,,org.apache.camel.osgi,788,0.788
org.apache.camel.osgi.test,2,0,3,1,0.75,0.25,0,1,1,1,1,0,,org.apache.camel.osgi.test,30,0.03
org.apache.camel.processor,146,0.035460993,27,22,0.551020408,0.413518599,94,0.9,0.064777328,0.375,0.071732955,0.213904928,,org.apache.camel.processor,7343,7.343
org.apache.camel.processor.aggregate,5,0.666666667,3,6,0.333333333,0,4,0.971428571,1,1,0.433333333,0.643518519,,org.apache.camel.processor.aggregate,147,0.147
org.apache.camel.processor.aggregator,9,0,6,1,0.857142857,0.142857143,0,0.995238095,0.325,1,1,0,,org.apache.camel.processor.aggregator,491,0.491
org.apache.camel.processor.exceptionpolicy,7,0.166666667,10,2,0.833333333,0,2,0.99047619,0.266666667,0.75,0.666666667,0.5,,org.apache.camel.processor.exceptionpolicy,416,0.416
org.apache.camel.processor.groovy,1,0,5,0,0,1,0,1,0.5,1,0,0,,org.apache.camel.processor.groovy,17,0.017
org.apache.camel.processor.idempotent,4,0.333333333,5,3,0.625,0.041666667,2,0.985714286,0.583333333,0.75,0.555555556,0.5,,org.apache.camel.processor.idempotent,109,0.109
org.apache.camel.processor.idempotent.jpa,2,0,2,1,0.666666667,0.333333333,0,1,1,1,1,0,,org.apache.camel.processor.idempotent.jpa,96,0.096
org.apache.camel.processor.interceptor,16,0.066666667,15,9,0.625,0.308333333,22,0.957142857,0.129032258,0.666666667,0.236111111,0.25308642,,org.apache.camel.processor.interceptor,987,0.987
org.apache.camel.processor.jpa,1,0,6,0,0,1,0,1,0.4375,1,0,0,,org.apache.camel.processor.jpa,56,0.056
org.apache.camel.processor.juel,1,0,6,0,0,1,0,1,0.375,1,0,0,,org.apache.camel.processor.juel,54,0.054
org.apache.camel.processor.loadbalancer,8,0.6,6,6,0.5,0.1,5,0.971428571,0.583333333,0.666666667,0.5,0.484722222,,org.apache.camel.processor.loadbalancer,236,0.236
org.apache.camel.processor.resequencer,19,0.266666667,6,3,0.666666667,0.066666667,0,0.985714286,1,1,0.4,0.333333333,,org.apache.camel.processor.resequencer,586,0.586
org.apache.camel.processor.routingslip,5,0,10,1,0.909090909,0.090909091,0,0.995238095,0.25,0.75,1,0,,org.apache.camel.processor.routingslip,294,0.294
org.apache.camel.processor.validation,5,0.25,10,4,0.714285714,0.035714286,4,0.980952381,1,1,0.416666667,0.375,,org.apache.camel.processor.validation,221,0.221
org.apache.camel.rest,1,0,2,1,0.666666667,0.333333333,0,0.995238095,1,1,1,0,,org.apache.camel.rest,43,0.043
org.apache.camel.rest.model,2,0,4,2,0.666666667,0.333333333,0,0.995238095,1,1,1,1,,org.apache.camel.rest.model,91,0.091
org.apache.camel.rest.resources,6,0,8,1,0.888888889,0.111111111,0,0.995238095,0.375,1,1,0,,org.apache.camel.rest.resources,135,0.135
org.apache.camel.rest.spring,1,0,8,0,0,1,0,1,0.555555556,1,0,0,,org.apache.camel.rest.spring,41,0.041
org.apache.camel.rest.util,2,0,7,0,0,1,0,1,0.466666667,1,0,0,,org.apache.camel.rest.util,49,0.049
org.apache.camel.ruby,5,0.25,7,0,0,0.75,0,1,0.3,0.75,0,0,,org.apache.camel.ruby,129,0.129
org.apache.camel.spi,21,0,7,66,0.095890411,0.904109589,10,0.685714286,0.380952381,1,0.099242424,0.178092478,,org.apache.camel.spi,166,0.166
org.apache.camel.spring,29,0.115384615,29,41,0.414285714,0.47032967,0,0.828571429,0.064393939,0.285714286,0.119733925,0.576774691,,org.apache.camel.spring,1767,1.767
org.apache.camel.spring.bind,5,0,9,0,0,1,0,1,0.3,0.75,0,0,,org.apache.camel.spring.bind,111,0.111
org.apache.camel.spring.config,12,0,12,0,0,1,0,1,0.157894737,0.4375,0,0,,org.apache.camel.spring.config,288,0.288
org.apache.camel.spring.config.scan,1,0,3,0,0,1,0,1,0.666666667,1,0,0,,org.apache.camel.spring.config.scan,21,0.021
org.apache.camel.spring.config.scan.component,1,0,2,1,0.666666667,0.333333333,0,0.995238095,1,1,1,0,,org.apache.camel.spring.config.scan.component,10,0.01
org.apache.camel.spring.config.scan.route,1,0,5,0,0,1,0,1,0.5,1,0,0,,org.apache.camel.spring.config.scan.route,21,0.021
org.apache.camel.spring.dataformat,1,0,1,0,0,1,0,1,1,1,0,0,,org.apache.camel.spring.dataformat,9,0.009
org.apache.camel.spring.debug,1,0,8,0,0,1,0,1,0.333333333,1,0,0,,org.apache.camel.spring.debug,46,0.046
org.apache.camel.spring.example,9,0,9,1,0.9,0.1,0,0.995238095,0.261538462,0.75,1,0,,org.apache.camel.spring.example,209,0.209
org.apache.camel.spring.example.test1,1,0,2,0,0,1,0,1,1,1,0,0,,org.apache.camel.spring.example.test1,7,0.007
org.apache.camel.spring.factory,1,0,3,0,0,1,0,1,0.75,1,0,0,,org.apache.camel.spring.factory,18,0.018
org.apache.camel.spring.handler,4,0,17,2,0.894736842,0.105263158,0,0.99047619,0.12,1,1,0.5,,org.apache.camel.spring.handler,307,0.307
org.apache.camel.spring.interceptor,7,0,12,0,0,1,0,1,0.25,0.75,0,0,,org.apache.camel.spring.interceptor,183,0.183
org.apache.camel.spring.issues,1,0,4,1,0.8,0.2,0,0.995238095,0.75,1,1,0,,org.apache.camel.spring.issues,27,0.027
org.apache.camel.spring.managment,1,0,5,0,0,1,0,1,0.75,1,0,0,,org.apache.camel.spring.managment,21,0.021
org.apache.camel.spring.mock,2,0,5,0,0,1,0,1,0.555555556,1,0,0,,org.apache.camel.spring.mock,33,0.033
org.apache.camel.spring.processor,45,0,10,5,0.666666667,0.333333333,0,0.976190476,0.325,0.195402299,1,0.8,,org.apache.camel.spring.processor,581,0.581
org.apache.camel.spring.processor.onexception,5,0,6,0,0,1,0,1,0.428571429,0.75,0,0,,org.apache.camel.spring.processor.onexception,78,0.078
org.apache.camel.spring.produce,3,0.5,3,0,0,0.5,0,1,1,1,0,0,,org.apache.camel.spring.produce,37,0.037
org.apache.camel.spring.remoting,10,0.25,14,3,0.823529412,0.073529412,0,0.99047619,0.161458333,0.5,0.5,0.75,,org.apache.camel.spring.remoting,278,0.278
org.apache.camel.spring.spi,7,0,11,1,0.916666667,0.083333333,0,0.995238095,0.226190476,0.555555556,1,0,,org.apache.camel.spring.spi,395,0.395
org.apache.camel.spring.util,3,0,8,1,0.888888889,0.111111111,0,0.995238095,0.555555556,0.75,1,0,,org.apache.camel.spring.util,217,0.217
org.apache.camel.spring.xml,2,0,9,0,0,1,0,1,0.305555556,1,0,0,,org.apache.camel.spring.xml,103,0.103
org.apache.camel.testng,3,0,4,1,0.8,0.2,0,0.995238095,0.75,1,1,0,,org.apache.camel.testng,73,0.073
org.apache.camel.testng.example,1,0,4,0,0,1,0,1,0.75,1,0,0,,org.apache.camel.testng.example,22,0.022
org.apache.camel.tests.partialclasspath,3,0,5,0,0,1,0,1,0.4,1,0,0,,org.apache.camel.tests.partialclasspath,77,0.077
org.apache.camel.util,37,0.057142857,25,95,0.208333333,0.73452381,37,0.538095238,0.125714286,0.555555556,0.068070175,0.360704037,,org.apache.camel.util,3161,3.161
org.apache.camel.util.concurrent,3,0,4,1,0.8,0.2,1,0.995238095,1,1,1,0,,org.apache.camel.util.concurrent,131,0.131
org.apache.camel.util.jndi,4,0,8,17,0.32,0.68,1,0.919047619,0.625,1,0.25,0.525951557,,org.apache.camel.util.jndi,419,0.419
org.apache.camel.view,8,0.142857143,16,4,0.8,0.057142857,1,0.980952381,0.197530864,0.75,0.5,0.666666667,,org.apache.camel.view,742,0.742
org.apache.camel.wsdl_first,6,0,6,1,0.857142857,0.142857143,0,0.995238095,1,1,1,0,,org.apache.camel.wsdl_first,98,0.098
