Package,IIPUD,IIPED,IPIC,PF,IPSC,post,Package.Name,N,A,Ce,Ca,I,D,pkgLOC,pkgKLOC
com.sun.jdi,1,1,0.967213115,0,0.071428571,0,com.sun.jdi,63,2.705882353,5,20,0.2,1.905882353,562,0.562
com.sun.jdi.connect,1,1,0.995316159,0,0.5,1,com.sun.jdi.connect,7,2.5,4,5,0.444444444,1.944444444,98,0.098
com.sun.jdi.event,1,1,1,0,1,0,com.sun.jdi.event,20,0,4,6,0.4,0.6,116,0.116
com.sun.jdi.request,1,1,0.99765808,0,1,1,com.sun.jdi.request,18,8,3,9,0.25,7.25,175,0.175
org.apache.lucene.demo.html,1,1,0.99765808,0,1,0,org.apache.lucene.demo.html,9,0.125,3,1,0.75,0.125,2908,2.908
org.eclipse.ant.core,0.278846154,0.75,0.976580796,0,0.1,6,org.eclipse.ant.core,9,0,10,10,0.5,0.5,1184,1.184
org.eclipse.ant.internal.core,1,1,0.992974239,0,0.333333333,2,org.eclipse.ant.internal.core,4,1,4,3,0.571428571,0.571428571,128,0.128
org.eclipse.ant.internal.core.ant,0.37254902,1,1,0,1,3,org.eclipse.ant.internal.core.ant,6,0,11,0,0,1,738,0.738
org.eclipse.compare,0.072420635,0.5,0.974238876,0.090909091,0.090909091,2,org.eclipse.compare,20,1.222222222,25,10,0.714285714,0.936507937,2097,2.097
org.eclipse.compare.contentmergeviewer,0.056179775,1,0.995316159,0.5,0.5,1,org.eclipse.compare.contentmergeviewer,6,2,28,4,0.875,1.875,3728,3.728
org.eclipse.compare.internal,0.041523236,0.169230769,0.983606557,0.071428571,0.095238095,7,org.eclipse.compare.internal,54,0.227272727,35,7,0.833333333,0.060606061,4745,4.745
org.eclipse.compare.internal.patch,0.056064073,1,1,0,1,1,org.eclipse.compare.internal.patch,10,0,29,0,0,1,2194,2.194
org.eclipse.compare.rangedifferencer,0.75,1,0.995316159,0,0.5,0,org.eclipse.compare.rangedifferencer,5,0.25,4,2,0.666666667,0.083333333,417,0.417
org.eclipse.compare.structuremergeviewer,0.102430556,1,0.976580796,0.05,0.1,0,org.eclipse.compare.structuremergeviewer,13,1.6,16,10,0.615384615,1.215384615,1363,1.363
org.eclipse.core.boot,1,1,0.920374707,0,0.029411765,0,org.eclipse.core.boot,3,2,4,32,0.111111111,1.111111111,184,0.184
org.eclipse.core.internal.boot,1,1,0.983606557,0.142857143,0.142857143,2,org.eclipse.core.internal.boot,16,0.142857143,8,7,0.533333333,0.323809524,4501,4.501
org.eclipse.core.internal.dtree,0.625,1,0.995316159,0,0.5,0,org.eclipse.core.internal.dtree,17,0.307692308,4,2,0.666666667,0.025641026,1944,1.944
org.eclipse.core.internal.events,0.157142857,0.75,0.992974239,0.333333333,0.333333333,1,org.eclipse.core.internal.events,17,0.133333333,10,4,0.714285714,0.152380952,2180,2.18
org.eclipse.core.internal.indexing,1,1,0.995316159,0,0.25,0,org.eclipse.core.internal.indexing,39,0.3,4,2,0.666666667,0.033333333,3599,3.599
org.eclipse.core.internal.localstore,0.18128655,1,0.99765808,0,1,2,org.eclipse.core.internal.localstore,22,0.222222222,9,1,0.9,0.122222222,2826,2.826
org.eclipse.core.internal.plugins,0.21509434,0.388888889,0.985948478,0,0.166666667,5,org.eclipse.core.internal.plugins,20,0.111111111,13,6,0.684210526,0.204678363,5761,5.761
org.eclipse.core.internal.properties,0.195402299,1,0.995316159,0,0.5,0,org.eclipse.core.internal.properties,9,0.125,9,2,0.818181818,0.056818182,827,0.827
org.eclipse.core.internal.resources,0.12,0.625,0.988290398,0.05,0.2,3,org.eclipse.core.internal.resources,70,0.129032258,18,5,0.782608696,0.088359046,12008,12.008
org.eclipse.core.internal.runtime,0.215686275,1,0.981264637,0,0.125,1,org.eclipse.core.internal.runtime,20,0,11,8,0.578947368,0.421052632,2522,2.522
org.eclipse.core.internal.utils,0.571428571,1,0.981264637,0,0.125,0,org.eclipse.core.internal.utils,12,0.090909091,9,8,0.529411765,0.379679144,943,0.943
org.eclipse.core.internal.watson,0.375,1,0.995316159,0,0.5,0,org.eclipse.core.internal.watson,17,0.7,6,3,0.666666667,0.366666667,1096,1.096
org.eclipse.core.launcher,0,1,1,0,1,0,org.eclipse.core.launcher,2,0,7,0,0,1,1023,1.023
org.eclipse.core.resources,0.393939394,1,0.709601874,0.008064516,0.008064516,1,org.eclipse.core.resources,36,17,8,164,0.046511628,16.04651163,706,0.706
org.eclipse.core.resources.ant,0.384615385,1,1,0,1,0,org.eclipse.core.resources.ant,4,0,8,0,0,1,217,0.217
org.eclipse.core.resources.team,1,1,0.995316159,0.5,0.5,0,org.eclipse.core.resources.team,3,0,3,5,0.375,0.625,102,0.102
org.eclipse.core.runtime,0.393939394,1,0.327868852,0.003484321,0.003484321,0,org.eclipse.core.runtime,31,1.818181818,9,242,0.035856574,0.854038392,2089,2.089
org.eclipse.core.runtime.model,0.444444444,1,0.976580796,0,0.1,2,org.eclipse.core.runtime.model,13,0.181818182,6,9,0.4,0.418181818,744,0.744
org.eclipse.debug.core,0.28125,1,0.908665105,0,0.025641026,2,org.eclipse.debug.core,22,4.5,8,37,0.177777778,3.677777778,961,0.961
org.eclipse.debug.core.model,1,1,0.99765808,0.5,1,0,org.eclipse.debug.core.model,28,0,7,30,0.189189189,0.810810811,377,0.377
org.eclipse.debug.internal.core,0.261029412,1,0.988290398,0,0.2,3,org.eclipse.debug.internal.core,15,0,11,4,0.733333333,0.266666667,3167,3.167
org.eclipse.debug.internal.ui,0.050540123,0.75,0.971896956,0,0.083333333,3,org.eclipse.debug.internal.ui,20,0.176470588,32,10,0.761904762,0.06162465,1660,1.66
org.eclipse.debug.internal.ui.actions,0.043490783,0.75,0.990632319,0,0.2,0,org.eclipse.debug.internal.ui.actions,57,0.1875,31,4,0.885714286,0.073214286,2525,2.525
org.eclipse.debug.internal.ui.launchConfigurations,0.048495575,0.4,0.988290398,0,0.2,2,org.eclipse.debug.internal.ui.launchConfigurations,23,0.045454545,35,4,0.897435897,0.057109557,3793,3.793
org.eclipse.debug.internal.ui.preferences,0.05529522,0.444444444,0.995316159,0,0.5,2,org.eclipse.debug.internal.ui.preferences,15,0.071428571,25,6,0.806451613,0.122119816,1738,1.738
org.eclipse.debug.internal.ui.views,1,1,0.988290398,0.2,0.2,0,org.eclipse.debug.internal.ui.views,5,1.5,7,5,0.583333333,1.083333333,191,0.191
org.eclipse.debug.internal.ui.views.breakpoints,0.112903226,0.75,1,0,1,0,org.eclipse.debug.internal.ui.views.breakpoints,4,0,13,0,0,1,236,0.236
org.eclipse.debug.internal.ui.views.console,0.043866562,0.357142857,0.995316159,0,0.5,2,org.eclipse.debug.internal.ui.views.console,19,0.055555556,30,2,0.9375,0.006944444,2200,2.2
org.eclipse.debug.internal.ui.views.expression,0.146666667,1,1,0,1,3,org.eclipse.debug.internal.ui.views.expression,3,0,12,0,0,1,221,0.221
org.eclipse.debug.internal.ui.views.launch,0.050073099,0.4,0.99765808,0,1,3,org.eclipse.debug.internal.ui.views.launch,6,0,27,1,0.964285714,0.035714286,1470,1.47
org.eclipse.debug.internal.ui.views.variables,0.058084772,0.666666667,0.995316159,0,0.5,7,org.eclipse.debug.internal.ui.views.variables,6,0.2,23,2,0.92,0.12,1070,1.07
org.eclipse.debug.ui,0.057386364,1,0.941451991,0.04,0.04,4,org.eclipse.debug.ui,14,6,30,24,0.555555556,5.555555556,1643,1.643
org.eclipse.debug.ui.actions,0.133333333,1,0.99765808,0,1,1,org.eclipse.debug.ui.actions,7,0.166666667,13,1,0.928571429,0.095238095,456,0.456
org.eclipse.debug.ui.console,0.152941176,1,0.992974239,0,0.333333333,1,org.eclipse.debug.ui.console,6,2,11,5,0.6875,1.6875,144,0.144
org.eclipse.help,1,1,1,0,1,0,org.eclipse.help,6,0,1,13,0.071428571,0.928571429,43,0.043
org.eclipse.help.browser,1,1,1,0,1,0,org.eclipse.help.browser,2,0,1,8,0.111111111,0.888888889,15,0.015
org.eclipse.help.internal,0.117647059,1,0.962529274,0,0.0625,1,org.eclipse.help.internal,5,0,16,12,0.571428571,0.428571429,627,0.627
org.eclipse.help.internal.appserver,0.533333333,1,0.988290398,0,0.2,0,org.eclipse.help.internal.appserver,5,0.25,7,5,0.583333333,0.166666667,419,0.419
org.eclipse.help.internal.browser,0.3,1,0.988290398,0,0.2,0,org.eclipse.help.internal.browser,9,0,8,5,0.615384615,0.384615385,722,0.722
org.eclipse.help.internal.browser.macosx,1,1,1,0,1,0,org.eclipse.help.internal.browser.macosx,2,0,3,0,0,1,51,0.051
org.eclipse.help.internal.context,0.253333333,1,0.990632319,0,0.25,0,org.eclipse.help.internal.context,9,0.125,11,4,0.733333333,0.141666667,506,0.506
org.eclipse.help.internal.protocols,0.3,1,1,0,1,0,org.eclipse.help.internal.protocols,5,0,9,0,0,1,273,0.273
org.eclipse.help.internal.search,0.151515152,1,0.992974239,0,0.333333333,3,org.eclipse.help.internal.search,23,0.095238095,14,3,0.823529412,0.081232493,2177,2.177
org.eclipse.help.internal.standalone,1,1,0.99765808,0,1,1,org.eclipse.help.internal.standalone,6,0,5,1,0.833333333,0.166666667,766,0.766
org.eclipse.help.internal.toc,0.236363636,1,0.988290398,0,0.2,1,org.eclipse.help.internal.toc,12,0.2,13,5,0.722222222,0.077777778,921,0.921
org.eclipse.help.internal.util,0.303571429,1,0.971896956,0,0.083333333,0,org.eclipse.help.internal.util,9,0.125,10,11,0.476190476,0.398809524,853,0.853
org.eclipse.help.internal.webapp,0.444444444,1,0.995316159,0,0.5,1,org.eclipse.help.internal.webapp,2,0,5,2,0.714285714,0.285714286,77,0.077
org.eclipse.help.internal.webapp.data,0.133333333,1,0.99765808,0,1,6,org.eclipse.help.internal.webapp.data,15,0,15,1,0.9375,0.0625,1367,1.367
org.eclipse.help.internal.webapp.servlet,0.145299145,0,1,0,1,2,org.eclipse.help.internal.webapp.servlet,12,0.090909091,13,0,0,0.909090909,957,0.957
org.eclipse.help.internal.workingset,0.226190476,1,0.990632319,0,0.25,0,org.eclipse.help.internal.workingset,8,0.142857143,12,4,0.75,0.107142857,633,0.633
org.eclipse.help.standalone,1,1,1,0,1,0,org.eclipse.help.standalone,2,0,4,0,0,1,63,0.063
org.eclipse.help.ui.browser,0.185185185,1,1,0,1,0,org.eclipse.help.ui.browser,1,0,10,0,0,1,42,0.042
org.eclipse.help.ui.internal,0.054617117,0.4375,0.990632319,0,0.25,0,org.eclipse.help.ui.internal,12,0.2,27,5,0.84375,0.04375,1149,1.149
org.eclipse.help.ui.internal.browser,0.113846154,1,1,0,1,0,org.eclipse.help.ui.internal.browser,3,0,15,0,0,1,244,0.244
org.eclipse.help.ui.internal.browser.win32,0.092063492,1,1,0,1,0,org.eclipse.help.ui.internal.browser.win32,9,0.285714286,18,0,0,0.714285714,1223,1.223
org.eclipse.help.ui.internal.search,0.080213904,0.555555556,1,0,1,2,org.eclipse.help.ui.internal.search,4,0,23,0,0,1,546,0.546
org.eclipse.help.ui.internal.util,0.139130435,1,0.985948478,0,0.166666667,0,org.eclipse.help.ui.internal.util,5,0,15,6,0.714285714,0.285714286,347,0.347
org.eclipse.help.ui.internal.workingset,0.095864662,0.75,0.99765808,0,1,0,org.eclipse.help.ui.internal.workingset,5,0,17,1,0.944444444,0.055555556,576,0.576
org.eclipse.jdi,0.375,1,0.985948478,0,0.166666667,0,org.eclipse.jdi,3,0.5,5,6,0.454545455,0.045454545,36,0.036
org.eclipse.jdi.hcr,1,1,0.99765808,0,1,0,org.eclipse.jdi.hcr,6,5,3,4,0.428571429,4.428571429,45,0.045
org.eclipse.jdi.internal,0.092881944,1,0.985948478,0,0.111111111,3,org.eclipse.jdi.internal,46,0.179487179,19,6,0.76,0.060512821,6469,6.469
org.eclipse.jdi.internal.connect,0.238095238,1,0.995316159,0,0.166666667,1,org.eclipse.jdi.internal.connect,11,0.375,10,2,0.833333333,0.208333333,860,0.86
org.eclipse.jdi.internal.event,0.145833333,1,0.995316159,0,0.5,0,org.eclipse.jdi.internal.event,21,0.166666667,12,2,0.857142857,0.023809524,749,0.749
org.eclipse.jdi.internal.jdwp,1,1,0.990632319,0,0.125,0,org.eclipse.jdi.internal.jdwp,19,0.117647059,5,4,0.555555556,0.326797386,725,0.725
org.eclipse.jdi.internal.request,0.184027778,1,0.995316159,0,0.5,0,org.eclipse.jdi.internal.request,18,0.125,10,2,0.833333333,0.041666667,881,0.881
org.eclipse.jdi.internal.spy,1,1,1,0,1,0,org.eclipse.jdi.internal.spy,8,0.142857143,6,0,0,0.857142857,2918,2.918
org.eclipse.jdt.core,0.092568449,0.666666667,0.758782201,0.009708738,0.009708738,3,org.eclipse.jdt.core,54,3.5,19,95,0.166666667,2.666666667,4420,4.42
org.eclipse.jdt.core.compiler,1,1,0.885245902,0,0.020408163,0,org.eclipse.jdt.core.compiler,5,1.5,2,52,0.037037037,0.537037037,1368,1.368
org.eclipse.jdt.core.dom,0.08974359,1,0.929742389,0.004166667,0.027777778,7,org.eclipse.jdt.core.dom,89,0.171052632,14,28,0.333333333,0.495614035,12130,12.13
org.eclipse.jdt.core.eval,1,1,1,0,1,0,org.eclipse.jdt.core.eval,3,0,5,4,0.555555556,0.444444444,78,0.078
org.eclipse.jdt.core.jdom,1,1,0.99765808,0,1,0,org.eclipse.jdt.core.jdom,12,5,4,1,0.8,4.8,211,0.211
org.eclipse.jdt.core.search,0.173469388,1,0.925058548,0,0.03125,0,org.eclipse.jdt.core.search,6,5,11,31,0.261904762,4.261904762,387,0.387
org.eclipse.jdt.core.util,0.466666667,1,0.995316159,0,0.5,0,org.eclipse.jdt.core.util,27,5.75,5,4,0.555555556,5.305555556,1406,1.406
org.eclipse.jdt.debug.core,0.24,1,0.974238876,0,0.090909091,2,org.eclipse.jdt.debug.core,27,26,8,15,0.347826087,25.34782609,434,0.434
org.eclipse.jdt.debug.eval,0.555555556,1,0.992974239,0,0.333333333,0,org.eclipse.jdt.debug.eval,7,6,6,7,0.461538462,5.461538462,76,0.076
org.eclipse.jdt.debug.ui,0.102564103,1,0.988290398,0,0.2,0,org.eclipse.jdt.debug.ui,3,0.5,16,7,0.695652174,0.195652174,299,0.299
org.eclipse.jdt.debug.ui.launchConfigurations,0.042735043,1,0.990632319,0,0.25,3,org.eclipse.jdt.debug.ui.launchConfigurations,9,0,31,3,0.911764706,0.088235294,2431,2.431
org.eclipse.jdt.internal.codeassist,0.078857143,1,0.995316159,0,0.5,3,org.eclipse.jdt.internal.codeassist,6,2,17,3,0.85,1.85,3370,3.37
org.eclipse.jdt.internal.codeassist.complete,0.136986301,0.294117647,0.99765808,0,1,2,org.eclipse.jdt.internal.codeassist.complete,32,0.032258065,9,1,0.9,0.067741935,3553,3.553
org.eclipse.jdt.internal.codeassist.impl,1,1,0.988290398,0.2,0.2,2,org.eclipse.jdt.internal.codeassist.impl,4,3,11,5,0.6875,2.6875,1213,1.213
org.eclipse.jdt.internal.codeassist.select,0.162790698,0.375,0.99765808,0,1,0,org.eclipse.jdt.internal.codeassist.select,18,0,9,1,0.9,0.1,1091,1.091
org.eclipse.jdt.internal.compiler,0.117794486,1,0.946135831,0,0.043478261,1,org.eclipse.jdt.internal.compiler,16,0.777777778,12,23,0.342857143,0.120634921,5834,5.834
org.eclipse.jdt.internal.compiler.ast,0.126177024,1,0.962529274,0,0.025,3,org.eclipse.jdt.internal.compiler.ast,88,0.189189189,12,17,0.413793103,0.397017707,14084,14.084
org.eclipse.jdt.internal.compiler.batch,0.187969925,1,0.995316159,0,0.5,0,org.eclipse.jdt.internal.compiler.batch,6,0,11,2,0.846153846,0.153846154,1751,1.751
org.eclipse.jdt.internal.compiler.classfmt,0.212962963,1,0.981264637,0,0.125,0,org.eclipse.jdt.internal.compiler.classfmt,7,0.4,10,10,0.5,0.1,1257,1.257
org.eclipse.jdt.internal.compiler.codegen,0.145833333,1,0.988290398,0,0.2,3,org.eclipse.jdt.internal.compiler.codegen,17,0.214285714,9,6,0.6,0.185714286,8830,8.83
org.eclipse.jdt.internal.compiler.env,1,1,0.983606557,0,0.142857143,0,org.eclipse.jdt.internal.compiler.env,15,14,2,23,0.08,13.08,160,0.16
org.eclipse.jdt.internal.compiler.flow,0.208333333,1,0.990632319,0,0.25,0,org.eclipse.jdt.internal.compiler.flow,11,0.1,8,4,0.666666667,0.233333333,1407,1.407
org.eclipse.jdt.internal.compiler.impl,0.4375,1,0.950819672,0,0.047619048,1,org.eclipse.jdt.internal.compiler.impl,13,0.3,10,21,0.322580645,0.377419355,2413,2.413
org.eclipse.jdt.internal.compiler.lookup,0.130023641,1,0.960187354,0,0.029411765,2,org.eclipse.jdt.internal.compiler.lookup,41,0.464285714,12,21,0.363636364,0.172077922,8001,8.001
org.eclipse.jdt.internal.compiler.parser,0.133495146,1,0.962529274,0,0.0625,2,org.eclipse.jdt.internal.compiler.parser,19,0.117647059,11,17,0.392857143,0.489495798,9789,9.789
org.eclipse.jdt.internal.compiler.problem,0.136666667,1,0.953161593,0,0.05,0,org.eclipse.jdt.internal.compiler.problem,10,0.111111111,11,20,0.35483871,0.534050179,3476,3.476
org.eclipse.jdt.internal.compiler.util,0.666666667,1,0.957845433,0,0.055555556,0,org.eclipse.jdt.internal.compiler.util,9,0,6,17,0.260869565,0.739130435,884,0.884
org.eclipse.jdt.internal.core,0.039408867,0.466666667,0.957845433,0.005050505,0.047619048,19,org.eclipse.jdt.internal.core,114,0.14,33,16,0.673469388,0.186530612,22808,22.808
org.eclipse.jdt.internal.core.builder,0.115479115,0.75,0.992974239,0.166666667,0.333333333,4,org.eclipse.jdt.internal.core.builder,20,0.111111111,15,3,0.833333333,0.055555556,3008,3.008
org.eclipse.jdt.internal.core.eval,0.135802469,1,0.99765808,0,1,0,org.eclipse.jdt.internal.core.eval,3,0,11,1,0.916666667,0.083333333,372,0.372
org.eclipse.jdt.internal.core.hierarchy,0.065095398,1,0.992974239,0,0.333333333,0,org.eclipse.jdt.internal.core.hierarchy,9,0.285714286,22,3,0.88,0.165714286,2952,2.952
org.eclipse.jdt.internal.core.index,0.666666667,1,1,0,1,0,org.eclipse.jdt.internal.core.index,7,6,4,4,0.5,5.5,63,0.063
org.eclipse.jdt.internal.core.index.impl,0.187969925,1,0.985948478,0,0.083333333,1,org.eclipse.jdt.internal.core.index.impl,34,0.307692308,11,5,0.6875,0.004807692,3317,3.317
org.eclipse.jdt.internal.core.jdom,0.140909091,1,0.995316159,0,0.5,2,org.eclipse.jdt.internal.core.jdom,15,0.25,12,2,0.857142857,0.107142857,2810,2.81
org.eclipse.jdt.internal.core.search,0.113636364,1,0.985948478,0,0.166666667,0,org.eclipse.jdt.internal.core.search,12,0.333333333,14,6,0.7,0.033333333,1204,1.204
org.eclipse.jdt.internal.core.search.indexing,0.081632653,1,0.985948478,0,0.111111111,1,org.eclipse.jdt.internal.core.search.indexing,18,0.285714286,20,5,0.8,0.085714286,2456,2.456
org.eclipse.jdt.internal.core.search.matching,0.047770701,0.75,0.992974239,0,0.333333333,4,org.eclipse.jdt.internal.core.search.matching,36,0.125,27,2,0.931034483,0.056034483,9511,9.511
org.eclipse.jdt.internal.core.search.processing,1,1,0.985948478,0.166666667,0.166666667,3,org.eclipse.jdt.internal.core.search.processing,2,0,5,5,0.5,0.5,327,0.327
org.eclipse.jdt.internal.core.util,0.288888889,1,0.985948478,0.083333333,0.166666667,0,org.eclipse.jdt.internal.core.util,33,0.178571429,10,6,0.625,0.196428571,9121,9.121
org.eclipse.jdt.internal.corext,0.333333333,1,0.922716628,0,0.03030303,0,org.eclipse.jdt.internal.corext,4,0,8,32,0.2,0.8,125,0.125
org.eclipse.jdt.internal.corext.codemanipulation,0.069281046,1,0.953161593,0,0.05,9,org.eclipse.jdt.internal.corext.codemanipulation,27,0.173913043,20,19,0.512820513,0.313266444,3666,3.666
org.eclipse.jdt.internal.corext.dom,0.131730769,0.666666667,0.964871194,0.066666667,0,4,org.eclipse.jdt.internal.corext.dom,23,0.045454545,10,15,0.4,0.554545455,4929,4.929
org.eclipse.jdt.internal.corext.dom.fragments,0.296875,1,0.99765808,0,1,0,org.eclipse.jdt.internal.corext.dom.fragments,9,0.5,6,1,0.857142857,0.357142857,489,0.489
org.eclipse.jdt.internal.corext.javadoc,0.130023641,1,0.985948478,0.166666667,0.166666667,0,org.eclipse.jdt.internal.corext.javadoc,5,0.25,16,6,0.727272727,0.022727273,609,0.609
org.eclipse.jdt.internal.corext.refactoring,0.098870056,1,0.960187354,0.058823529,0.058823529,3,org.eclipse.jdt.internal.corext.refactoring,12,0.090909091,15,16,0.483870968,0.425219941,1341,1.341
org.eclipse.jdt.internal.corext.refactoring.base,0.214285714,1,0.946135831,0.043478261,0.043478261,1,org.eclipse.jdt.internal.corext.refactoring.base,19,1.111111111,12,18,0.4,0.511111111,808,0.808
org.eclipse.jdt.internal.corext.refactoring.changes,0.130023641,0.75,0.974238876,0.011363636,0.068181818,2,org.eclipse.jdt.internal.corext.refactoring.changes,32,0.333333333,11,11,0.5,0.166666667,1936,1.936
org.eclipse.jdt.internal.corext.refactoring.code,0.058552632,0.4,0.990632319,0.25,0.25,8,org.eclipse.jdt.internal.corext.refactoring.code,24,0.043478261,21,4,0.84,0.116521739,7072,7.072
org.eclipse.jdt.internal.corext.refactoring.code.flow,0.2734375,1,0.99765808,0.5,1,1,org.eclipse.jdt.internal.corext.refactoring.code.flow,20,0.111111111,6,1,0.857142857,0.031746032,1708,1.708
org.eclipse.jdt.internal.corext.refactoring.nls,0.083950617,1,0.992974239,0,0.333333333,1,org.eclipse.jdt.internal.corext.refactoring.nls,8,0,19,3,0.863636364,0.136363636,1249,1.249
org.eclipse.jdt.internal.corext.refactoring.nls.changes,0.171052632,1,0.990632319,0,0.25,0,org.eclipse.jdt.internal.corext.refactoring.nls.changes,4,0,11,4,0.733333333,0.266666667,238,0.238
org.eclipse.jdt.internal.corext.refactoring.rename,0.071022727,0.75,0.983606557,0,0.142857143,2,org.eclipse.jdt.internal.corext.refactoring.rename,24,0.043478261,18,6,0.75,0.206521739,4033,4.033
org.eclipse.jdt.internal.corext.refactoring.reorg,0.073275862,0.555555556,0.985948478,0,0.166666667,2,org.eclipse.jdt.internal.corext.refactoring.reorg,13,0.444444444,19,6,0.76,0.204444444,2484,2.484
org.eclipse.jdt.internal.corext.refactoring.sef,0.080597015,0.5,0.99765808,0,1,0,org.eclipse.jdt.internal.corext.refactoring.sef,6,0,17,1,0.944444444,0.055555556,624,0.624
org.eclipse.jdt.internal.corext.refactoring.structure,0.051420455,1,0.990632319,0,0.25,7,org.eclipse.jdt.internal.corext.refactoring.structure,25,0.041666667,25,4,0.862068966,0.096264368,9732,9.732
org.eclipse.jdt.internal.corext.refactoring.surround,0.085714286,0.5,0.995316159,0,0.5,0,org.eclipse.jdt.internal.corext.refactoring.surround,5,0.25,16,2,0.888888889,0.138888889,459,0.459
org.eclipse.jdt.internal.corext.refactoring.tagging,1,1,1,0,1,0,org.eclipse.jdt.internal.corext.refactoring.tagging,4,0,3,5,0.375,0.625,36,0.036
org.eclipse.jdt.internal.corext.refactoring.util,0.092055485,1,0.967213115,0.071428571,0.071428571,1,org.eclipse.jdt.internal.corext.refactoring.util,10,0.111111111,16,13,0.551724138,0.337164751,838,0.838
org.eclipse.jdt.internal.corext.template,0.261538462,1,0.974238876,0.090909091,0.090909091,0,org.eclipse.jdt.internal.corext.template,15,0.5,14,10,0.583333333,0.083333333,890,0.89
org.eclipse.jdt.internal.corext.template.java,0.064184852,0.666666667,0.985948478,0,0.166666667,1,org.eclipse.jdt.internal.corext.template.java,12,0.2,22,6,0.785714286,0.014285714,1405,1.405
org.eclipse.jdt.internal.corext.textmanipulation,0.119318182,1,0.957845433,0.041666667,0.055555556,0,org.eclipse.jdt.internal.corext.textmanipulation,20,0.25,15,17,0.46875,0.28125,1787,1.787
org.eclipse.jdt.internal.corext.util,0.105812221,1,0.896955504,0,0.022727273,3,org.eclipse.jdt.internal.corext.util,15,0.071428571,14,39,0.264150943,0.664420485,1799,1.799
org.eclipse.jdt.internal.debug.core,0.131034483,1,0.978922717,0,0.111111111,2,org.eclipse.jdt.internal.debug.core,4,0.333333333,11,9,0.55,0.116666667,685,0.685
org.eclipse.jdt.internal.debug.core.breakpoints,0.090497738,1,0.995316159,0,0.5,4,org.eclipse.jdt.internal.debug.core.breakpoints,9,0.125,13,2,0.866666667,0.008333333,2275,2.275
