Package.Name,N,A,Ce,Ca,I,D,post,,IPIC ,IIPUD,IIPED,PF,IPSC ,pkgLOC,pkgKLOC
org.eclipse.jdt.core,71,3.176470588,29,20,0.591836735,2.768307323,11,,0.456521739,0.060846561,0.25,0.218852459,0.251217809,6470,6.47
org.eclipse.jdt.core.compiler,10,1.5,9,33,0.214285714,0.714285714,1,,0.217391304,0.19047619,1,0.272727273,0.57028678,2080,2.08
org.eclipse.jdt.core.compiler.batch,1,0,3,0,0,1,0,,1,1,1,0,0,14,0.014
org.eclipse.jdt.core.dom,134,0.196428571,18,5,0.782608696,0.020962733,9,,0.847826087,0.066943128,0.666666667,0.301960784,0.249412702,27396,27.396
org.eclipse.jdt.core.dom.rewrite,5,0.25,6,2,0.75,0,1,,0.956521739,0.2734375,1,0.5,0.25,1044,1.044
org.eclipse.jdt.core.eval,3,0,3,2,0.6,0.4,0,,0.956521739,0.555555556,1,1,0.25,97,0.097
org.eclipse.jdt.core.formatter,4,0.333333333,10,6,0.625,0.041666667,2,,0.869565217,0.25,1,0.666666667,0.597222222,953,0.953
org.eclipse.jdt.core.jdom,12,5,4,0,0,4,0,,1,0.75,1,0,0,226,0.226
org.eclipse.jdt.core.search,27,0.928571429,9,9,0.5,0.428571429,8,,0.804347826,0.144444444,0.666666667,0.232323232,0.442125829,1953,1.953
org.eclipse.jdt.core.util,44,10,5,3,0.625,9.625,2,,0.934782609,0.428571429,1,0.428571429,0.39664903,1591,1.591
org.eclipse.jdt.internal.antadapter,1,0,4,1,0.8,0.2,0,,0.97826087,1,1,1,0,35,0.035
org.eclipse.jdt.internal.codeassist,15,0.363636364,20,6,0.769230769,0.132867133,13,,0.869565217,0.062665066,0.375,0.291666667,0.342592593,13052,13.052
org.eclipse.jdt.internal.codeassist.complete,45,0.046511628,16,2,0.888888889,0.064599483,2,,0.956521739,0.084489281,0.2734375,0.5125,0.25625,7496,7.496
org.eclipse.jdt.internal.codeassist.impl,14,0.272727273,13,6,0.684210526,0.043062201,1,,0.869565217,0.103535354,0.545454545,0.238095238,0.35515873,2223,2.223
org.eclipse.jdt.internal.codeassist.select,23,0,15,1,0.9375,0.0625,1,,0.97826087,0.104683196,0.365079365,1,0,1878,1.878
org.eclipse.jdt.internal.compiler,21,0.615384615,15,25,0.375,0.009615385,10,,0.456521739,0.096385542,0.666666667,0.2075,0.394793651,12560,12.56
org.eclipse.jdt.internal.compiler.ast,109,0.172043011,13,24,0.351351351,0.476605638,59,,0.47826087,0.100684262,1,0.321373457,0.509360248,22600,22.6
org.eclipse.jdt.internal.compiler.batch,8,0.142857143,14,1,0.933333333,0.076190476,3,,0.97826087,0.135802469,1,1,0,4484,4.484
org.eclipse.jdt.internal.compiler.classfmt,14,0.166666667,11,25,0.305555556,0.527777778,0,,0.456521739,0.175824176,1,0.32,0.794266667,2417,2.417
org.eclipse.jdt.internal.compiler.codegen,18,0.2,13,7,0.65,0.15,8,,0.847826087,0.134502924,1,0.296703297,0.41292517,9048,9.048
org.eclipse.jdt.internal.compiler.env,22,2.666666667,3,23,0.115384615,1.782051282,0,,0.5,0.666666667,1,0.272727273,0.499527922,368,0.368
org.eclipse.jdt.internal.compiler.flow,12,0.090909091,8,5,0.615384615,0.293706294,6,,0.891304348,0.194444444,1,0.327272727,0.498181818,3525,3.525
org.eclipse.jdt.internal.compiler.impl,14,0.272727273,11,28,0.282051282,0.445221445,1,,0.391304348,0.173611111,1,0.178571429,0.643537415,3018,3.018
org.eclipse.jdt.internal.compiler.lookup,60,0.25,13,26,0.333333333,0.416666667,59,,0.434782609,0.113432836,1,0.305288462,0.468812892,18590,18.59
org.eclipse.jdt.internal.compiler.parser,24,0.263157895,16,25,0.390243902,0.346598203,15,,0.434782609,0.082917083,1,0.226666667,0.443842727,17940,17.94
org.eclipse.jdt.internal.compiler.parser.diagnose,3,0,10,1,0.909090909,0.090909091,0,,0.97826087,0.166666667,1,1,0,2184,2.184
org.eclipse.jdt.internal.compiler.problem,10,0.111111111,12,26,0.315789474,0.573099415,8,,0.434782609,0.1197411,1,0.276923077,0.481899831,7478,7.478
org.eclipse.jdt.internal.compiler.util,20,0.052631579,11,28,0.282051282,0.665317139,1,,0.391304348,0.314285714,1,0.167857143,0.526794825,2555,2.555
org.eclipse.jdt.internal.core,156,0.138686131,39,14,0.735849057,0.125464812,50,,0.652173913,0.035555556,0.169230769,0.186813187,0.261762167,32084,32.084
org.eclipse.jdt.internal.core.builder,24,0.142857143,16,5,0.761904762,0.095238095,7,,0.891304348,0.111111111,1,0.25,0.306666667,4227,4.227
org.eclipse.jdt.internal.core.dom,1,0,2,0,0,1,0,,1,1,1,0,0,1277,1.277
org.eclipse.jdt.internal.core.dom.rewrite,14,0.166666667,10,1,0.909090909,0.075757576,3,,0.97826087,0.132543103,1,1,0,6028,6.028
org.eclipse.jdt.internal.core.eval,3,0,11,1,0.916666667,0.083333333,0,,0.97826087,0.135135135,1,1,0,384,0.384
org.eclipse.jdt.internal.core.hierarchy,9,0.125,21,3,0.875,0,1,,0.934782609,0.063988095,1,0.444444444,0.333333333,3319,3.319
org.eclipse.jdt.internal.core.index,4,0,7,3,0.7,0.3,1,,0.934782609,0.266666667,1,0.555555556,0.555555556,1414,1.414
org.eclipse.jdt.internal.core.jdom,15,0.25,13,1,0.928571429,0.178571429,0,,0.97826087,0.116071429,1,1,0,2854,2.854
org.eclipse.jdt.internal.core.search,17,0.307692308,20,5,0.8,0.107692308,3,,0.891304348,0.075520833,1,0.271428571,0.412980296,2684,2.684
org.eclipse.jdt.internal.core.search.indexing,17,0.214285714,23,5,0.821428571,0.035714286,6,,0.869565217,0.068421053,0.75,0.4,0.327777778,2698,2.698
org.eclipse.jdt.internal.core.search.matching,48,0.11627907,23,3,0.884615385,0.000894454,42,,0.913043478,0.054418605,0.4,0.439393939,0.297697368,10714,10.714
org.eclipse.jdt.internal.core.search.processing,2,0,2,5,0.285714286,0.714285714,0,,0.869565217,1,1,0.7,0.416666667,370,0.37
org.eclipse.jdt.internal.core.util,67,0.063492063,25,20,0.555555556,0.380952381,11,,0.565217391,0.0625,0.333333333,0.127777778,0.482212302,17448,17.448
org.eclipse.jdt.internal.eval,26,0.130434783,20,2,0.909090909,0.039525692,11,,0.934782609,0.068627451,0.307692308,0.6,0.222222222,4790,4.79
org.eclipse.jdt.internal.formatter,16,0.142857143,17,6,0.739130435,0.118012422,18,,0.869565217,0.078917051,0.4375,0.3,0.356481481,12420,12.42
org.eclipse.jdt.internal.formatter.align,2,0,2,2,0.5,0.5,0,,0.956521739,1,1,0.75,0.5,290,0.29
org.eclipse.jdt.internal.formatter.comment,16,0.6,10,1,0.909090909,0.509090909,0,,0.97826087,0.270833333,0.75,1,0,1541,1.541
org.eclipse.jdt.internal.formatter.old,1,0,7,1,0.875,0.125,0,,0.97826087,0.314285714,1,1,0,138,0.138
